Subject,Predicate,Object
Final Fantasy: The Spirits Within,HAS_GENRE,Adventure
Final Fantasy: The Spirits Within,HAS_GENRE,Action
Final Fantasy: The Spirits Within,HAS_GENRE,Fantasy
Final Fantasy: The Spirits Within,HAS_GENRE,Science Fiction
Final Fantasy: The Spirits Within,HAS_GENRE,Thriller
Final Fantasy: The Spirits Within,HAS_GENRE,Romance
Final Fantasy: The Spirits Within,HAS_GENRE,Animation
Final Fantasy: The Spirits Within,HAS_CAST,Alec Baldwin
Final Fantasy: The Spirits Within,HAS_CAST,Steve Buscemi
The Triplets of Belleville,HAS_GENRE,Animation
The Triplets of Belleville,HAS_GENRE,Comedy
The Triplets of Belleville,HAS_GENRE,Drama
Mary and Max,HAS_GENRE,Animation
Mary and Max,HAS_GENRE,Comedy
Mary and Max,HAS_GENRE,Drama
Mary and Max,HAS_CAST,Eric Bana
A Scanner Darkly,HAS_GENRE,Animation
A Scanner Darkly,HAS_GENRE,Science Fiction
A Scanner Darkly,HAS_GENRE,Thriller
A Scanner Darkly,HAS_CAST,Keanu Reeves
A Scanner Darkly,HAS_CAST,Robert Downey Jr.
A Scanner Darkly,HAS_CAST,Woody Harrelson
A Scanner Darkly,HAS_CAST,Winona Ryder
Waking Life,HAS_GENRE,Animation
Waking Life,HAS_GENRE,Drama
Waking Life,HAS_GENRE,Fantasy
Waking Life,HAS_CAST,Ethan Hawke
The Boss Baby,HAS_GENRE,Animation
The Boss Baby,HAS_GENRE,Comedy
The Boss Baby,HAS_GENRE,Adventure
The Boss Baby,HAS_GENRE,Family
The Boss Baby,HAS_CAST,Alec Baldwin
The Boss Baby,HAS_CAST,Jeff Goldblum
Scarface,HAS_GENRE,Action
Scarface,HAS_GENRE,Crime
Scarface,HAS_GENRE,Drama
Scarface,HAS_CAST,Al Pacino
South Park,HAS_GENRE,Animation
South Park,HAS_GENRE,Comedy
South Park,HAS_GENRE,Science Fiction
South Park,HAS_GENRE,TV Movie
South Park,HAS_CAST,Trey Parker
South Park,HAS_CAST,Matt Stone
South Park,HAS_DIRECTOR,Trey Parker
South Park,HAS_WRITER,Trey Parker
Twilight Zone: The Movie,HAS_GENRE,Horror
Twilight Zone: The Movie,HAS_GENRE,Fantasy
Twilight Zone: The Movie,HAS_GENRE,Science Fiction
Twilight Zone: The Movie,HAS_CAST,Albert Brooks
Twilight Zone: The Movie,HAS_DIRECTOR,Steven Spielberg
The Godfather,HAS_GENRE,Drama
The Godfather,HAS_GENRE,Crime
The Godfather,HAS_CAST,Marlon Brando
The Godfather,HAS_CAST,Al Pacino
The Godfather,HAS_CAST,James Caan
From Dusk till Dawn,HAS_GENRE,Horror
From Dusk till Dawn,HAS_GENRE,Action
From Dusk till Dawn,HAS_GENRE,Thriller
From Dusk till Dawn,HAS_GENRE,Crime
From Dusk till Dawn,HAS_CAST,George Clooney
From Dusk till Dawn,HAS_CAST,Quentin Tarantino
From Dusk till Dawn,HAS_CAST,Juliette Lewis
Star Wars: Episode II – Attack of the Clones,HAS_GENRE,Adventure
Star Wars: Episode II – Attack of the Clones,HAS_GENRE,Action
Star Wars: Episode II – Attack of the Clones,HAS_GENRE,Science Fiction
Star Wars: Episode II – Attack of the Clones,HAS_CAST,Natalie Portman
Star Wars: Episode II – Attack of the Clones,HAS_DIRECTOR,George Lucas
Enemy of the State,HAS_GENRE,Action
Enemy of the State,HAS_GENRE,Drama
Enemy of the State,HAS_GENRE,Thriller
Enemy of the State,HAS_CAST,Will Smith
Enemy of the State,HAS_CAST,Gene Hackman
Enemy of the State,HAS_DIRECTOR,Tony Scott
Star Wars,HAS_GENRE,Adventure
Star Wars,HAS_GENRE,Action
Star Wars,HAS_GENRE,Science Fiction
Star Wars,HAS_CAST,Mark Hamill
Star Wars,HAS_CAST,Harrison Ford
Star Wars,HAS_CAST,Carrie Fisher
Star Wars,HAS_DIRECTOR,George Lucas
Star Wars,HAS_WRITER,George Lucas
Contact,HAS_GENRE,Drama
Contact,HAS_GENRE,Science Fiction
Contact,HAS_GENRE,Mystery
Contact,HAS_CAST,Jodie Foster
Contact,HAS_CAST,Matthew McConaughey
Donnie Darko,HAS_GENRE,Fantasy
Donnie Darko,HAS_GENRE,Drama
Donnie Darko,HAS_GENRE,Mystery
Donnie Darko,HAS_CAST,Jake Gyllenhaal
Donnie Darko,HAS_CAST,Jena Malone
Donnie Darko,HAS_CAST,Drew Barrymore
Donnie Darko,HAS_DIRECTOR,Richard Kelly
Donnie Darko,HAS_WRITER,Richard Kelly
The Martian,HAS_GENRE,Drama
The Martian,HAS_GENRE,Adventure
The Martian,HAS_GENRE,Science Fiction
The Martian,HAS_CAST,Matt Damon
The Martian,HAS_CAST,Kristen Wiig
The Martian,HAS_CAST,Jeff Daniels
The Martian,HAS_DIRECTOR,Ridley Scott
Avatar,HAS_GENRE,Action
Avatar,HAS_GENRE,Adventure
Avatar,HAS_GENRE,Fantasy
Avatar,HAS_GENRE,Science Fiction
Avatar,HAS_CAST,Michelle Rodriguez
Avatar,HAS_CAST,Sigourney Weaver
Avatar,HAS_DIRECTOR,James Cameron
Avatar,HAS_WRITER,James Cameron
Avatar,HAS_GENRE,Action
Avatar,HAS_GENRE,Adventure
Avatar,HAS_GENRE,Fantasy
Avatar,HAS_GENRE,Science Fiction
Avatar,HAS_CAST,Michelle Rodriguez
Avatar,HAS_CAST,Sigourney Weaver
Avatar,HAS_DIRECTOR,James Cameron
Avatar,HAS_WRITER,James Cameron
Indiana Jones and the Kingdom of the Crystal Skull,HAS_GENRE,Adventure
Indiana Jones and the Kingdom of the Crystal Skull,HAS_GENRE,Action
Indiana Jones and the Kingdom of the Crystal Skull,HAS_CAST,Harrison Ford
Indiana Jones and the Kingdom of the Crystal Skull,HAS_CAST,Cate Blanchett
Indiana Jones and the Kingdom of the Crystal Skull,HAS_DIRECTOR,Steven Spielberg
Ever After,HAS_GENRE,Romance
Ever After,HAS_GENRE,Drama
Charlie's Angels,HAS_GENRE,Action
Charlie's Angels,HAS_GENRE,Adventure
Charlie's Angels,HAS_GENRE,Comedy
Charlie's Angels,HAS_CAST,Kristen Stewart
Charlie's Angels,HAS_CAST,Patrick Stewart
Blended,HAS_GENRE,Comedy
Blended,HAS_GENRE,Romance
Blended,HAS_CAST,Adam Sandler
Blended,HAS_CAST,Drew Barrymore
Blended,HAS_CAST,Terry Crews
The Wedding Singer,HAS_GENRE,Romance
The Wedding Singer,HAS_GENRE,Comedy
The Wedding Singer,HAS_CAST,Adam Sandler
The Wedding Singer,HAS_CAST,Drew Barrymore
50 First Dates,HAS_GENRE,Comedy
50 First Dates,HAS_GENRE,Romance
50 First Dates,HAS_CAST,Adam Sandler
50 First Dates,HAS_CAST,Drew Barrymore
50 First Dates,HAS_CAST,Rob Schneider
50 First Dates,HAS_CAST,Sean Astin
Wonder Woman,HAS_GENRE,Action
Wonder Woman,HAS_GENRE,Adventure
Wonder Woman,HAS_GENRE,Fantasy
Wonder Woman,HAS_CAST,Gal Gadot
Wonder Woman,HAS_CAST,Chris Pine
Wonder Woman,HAS_CAST,Robin Wright
Wonder Woman,HAS_CAST,Danny Huston
Annabelle,HAS_GENRE,Horror
Fast & Furious,HAS_GENRE,Action
Fast & Furious,HAS_GENRE,Adventure
Fast & Furious,HAS_GENRE,Comedy
Fast & Furious,HAS_CAST,Dwayne Johnson
Fast & Furious,HAS_CAST,Jason Statham
Fast & Furious,HAS_CAST,Idris Elba
Fast & Furious,HAS_CAST,Helen Mirren
Girls Trip,HAS_GENRE,Comedy
Girls Trip,HAS_CAST,Regina Hall
Girls Trip,HAS_CAST,Queen Latifah
Girls Trip,HAS_CAST,Jada Pinkett Smith
Girls Trip,HAS_CAST,Tiffany Haddish
Get Out,HAS_GENRE,Mystery
Get Out,HAS_GENRE,Thriller
Get Out,HAS_GENRE,Horror
Get Out,HAS_DIRECTOR,Jordan Peele
Get Out,HAS_WRITER,Jordan Peele
Spider-Man: Homecoming,HAS_GENRE,Action
Spider-Man: Homecoming,HAS_GENRE,Adventure
Spider-Man: Homecoming,HAS_GENRE,Science Fiction
Spider-Man: Homecoming,HAS_GENRE,Drama
Spider-Man: Homecoming,HAS_CAST,Michael Keaton
Spider-Man: Homecoming,HAS_CAST,Robert Downey Jr.
Spider-Man: Homecoming,HAS_CAST,Marisa Tomei
Spider-Man: Homecoming,HAS_CAST,Jon Favreau
Happy Death Day,HAS_GENRE,Horror
Happy Death Day,HAS_GENRE,Mystery
Happy Death Day,HAS_GENRE,Comedy
Happy Death Day,HAS_CAST,Jessica Rothe
47 Meters Down,HAS_GENRE,Thriller
47 Meters Down,HAS_GENRE,Adventure
47 Meters Down,HAS_GENRE,Horror
47 Meters Down,HAS_CAST,Mandy Moore
The Princess Bride,HAS_GENRE,Adventure
The Princess Bride,HAS_GENRE,Family
The Princess Bride,HAS_GENRE,Fantasy
The Princess Bride,HAS_GENRE,Comedy
The Princess Bride,HAS_GENRE,Romance
The Princess Bride,HAS_CAST,Cary Elwes
The Princess Bride,HAS_CAST,Robin Wright
The Princess Bride,HAS_CAST,Chris Sarandon
Justice League,HAS_GENRE,Action
Justice League,HAS_GENRE,Adventure
Justice League,HAS_GENRE,Science Fiction
Justice League,HAS_CAST,Ben Affleck
Justice League,HAS_CAST,Amy Adams
Justice League,HAS_CAST,Gal Gadot
Justice League,HAS_DIRECTOR,Joss Whedon
Secret Window,HAS_GENRE,Mystery
Secret Window,HAS_GENRE,Thriller
Secret Window,HAS_CAST,Johnny Depp
The Sixth Sense,HAS_GENRE,Mystery
The Sixth Sense,HAS_GENRE,Thriller
The Sixth Sense,HAS_GENRE,Drama
The Sixth Sense,HAS_CAST,Bruce Willis
The Sixth Sense,HAS_CAST,Haley Joel Osment
The Sixth Sense,HAS_DIRECTOR,M. Night Shyamalan
The Sixth Sense,HAS_WRITER,M. Night Shyamalan
The Shining,HAS_GENRE,Horror
The Shining,HAS_GENRE,Thriller
The Shining,HAS_CAST,Jack Nicholson
The Shining,HAS_DIRECTOR,Stanley Kubrick
Kill Bill,HAS_GENRE,Action
Kill Bill,HAS_GENRE,Crime
Kill Bill,HAS_CAST,Uma Thurman
Kill Bill,HAS_CAST,David Carradine
Kill Bill,HAS_DIRECTOR,Quentin Tarantino
Kill Bill,HAS_WRITER,Quentin Tarantino
Blow,HAS_GENRE,Crime
Blow,HAS_GENRE,Drama
Blow,HAS_CAST,Johnny Depp
The Wolf of Wall Street,HAS_GENRE,Crime
The Wolf of Wall Street,HAS_GENRE,Drama
The Wolf of Wall Street,HAS_GENRE,Comedy
The Wolf of Wall Street,HAS_CAST,Leonardo DiCaprio
The Wolf of Wall Street,HAS_CAST,Jonah Hill
The Wolf of Wall Street,HAS_CAST,Margot Robbie
The Wolf of Wall Street,HAS_CAST,Matthew McConaughey
The Wolf of Wall Street,HAS_DIRECTOR,Martin Scorsese
The Wolf of Wall Street,HAS_GENRE,Crime
The Wolf of Wall Street,HAS_GENRE,Drama
The Wolf of Wall Street,HAS_GENRE,Comedy
The Wolf of Wall Street,HAS_CAST,Leonardo DiCaprio
The Wolf of Wall Street,HAS_CAST,Jonah Hill
The Wolf of Wall Street,HAS_CAST,Margot Robbie
The Wolf of Wall Street,HAS_CAST,Matthew McConaughey
The Wolf of Wall Street,HAS_DIRECTOR,Martin Scorsese
Misery,HAS_GENRE,Drama
Misery,HAS_GENRE,Thriller
Misery,HAS_CAST,James Caan
Misery,HAS_CAST,Kathy Bates
Misery,HAS_CAST,Lauren Bacall
Pulp Fiction,HAS_GENRE,Thriller
Pulp Fiction,HAS_GENRE,Crime
Pulp Fiction,HAS_CAST,John Travolta
Pulp Fiction,HAS_CAST,Uma Thurman
Pulp Fiction,HAS_CAST,Bruce Willis
Pulp Fiction,HAS_DIRECTOR,Quentin Tarantino
Concussion,HAS_GENRE,Drama
Concussion,HAS_CAST,Will Smith
Concussion,HAS_CAST,Alec Baldwin
Concussion,HAS_CAST,Albert Brooks
Jerry Maguire,HAS_GENRE,Comedy
Jerry Maguire,HAS_GENRE,Drama
Jerry Maguire,HAS_GENRE,Romance
Jerry Maguire,HAS_CAST,Tom Cruise
Jerry Maguire,HAS_CAST,Cuba Gooding Jr.
Jerry Maguire,HAS_DIRECTOR,Cameron Crowe
Jerry Maguire,HAS_WRITER,Cameron Crowe
Far and Away,HAS_GENRE,Action
Far and Away,HAS_GENRE,Adventure
Far and Away,HAS_GENRE,War
Hell or High Water,HAS_GENRE,Western
Hell or High Water,HAS_GENRE,Crime
Hell or High Water,HAS_GENRE,Drama
Hell or High Water,HAS_CAST,Jeff Bridges
Hell or High Water,HAS_CAST,Chris Pine
Hell or High Water,HAS_CAST,Ben Foster
Daddy's Home,HAS_GENRE,Comedy
Daddy's Home,HAS_CAST,Will Ferrell
Daddy's Home,HAS_CAST,Mark Wahlberg
Philadelphia,HAS_GENRE,Drama
Philadelphia,HAS_CAST,Tom Hanks
Philadelphia,HAS_CAST,Denzel Washington
Philadelphia,HAS_CAST,Antonio Banderas
The Perks of Being a Wallflower,HAS_GENRE,Drama
The Perks of Being a Wallflower,HAS_CAST,Emma Watson
The Perks of Being a Wallflower,HAS_CAST,Mae Whitman
The Perks of Being a Wallflower,HAS_DIRECTOR,Stephen Chbosky
Erin Brockovich,HAS_GENRE,Drama
Erin Brockovich,HAS_CAST,Julia Roberts
Saw,HAS_GENRE,Horror
Saw,HAS_GENRE,Mystery
Saw,HAS_GENRE,Crime
Saw,HAS_CAST,Cary Elwes
Saw,HAS_CAST,Danny Glover
Saw,HAS_CAST,Monica Potter
Saw,HAS_DIRECTOR,James Wan
Psycho,HAS_GENRE,Horror
Psycho,HAS_GENRE,Drama
Psycho,HAS_GENRE,Thriller
Psycho,HAS_DIRECTOR,Alfred Hitchcock
Juno,HAS_GENRE,Comedy
Juno,HAS_GENRE,Drama
Juno,HAS_GENRE,Romance
Juno,HAS_CAST,Michael Cera
Juno,HAS_CAST,Jennifer Garner
Juno,HAS_CAST,Jason Bateman
Love and Basketball,HAS_GENRE,Comedy
Love and Basketball,HAS_GENRE,Drama
Love and Basketball,HAS_GENRE,Romance
Love and Basketball,HAS_CAST,Omar Epps
On Golden Pond,HAS_GENRE,Drama
On Golden Pond,HAS_GENRE,Romance
On Golden Pond,HAS_CAST,Henry Fonda
On Golden Pond,HAS_CAST,Jane Fonda
Neighbors,HAS_GENRE,Comedy
Neighbors,HAS_CAST,Seth Rogen
Neighbors,HAS_CAST,Rose Byrne
Neighbors,HAS_CAST,Zac Efron
Neighbors,HAS_CAST,Christopher Mintz-Plasse
Bad Moms,HAS_GENRE,Comedy
Bad Moms,HAS_CAST,Mila Kunis
Bad Moms,HAS_CAST,Kristen Bell
Bad Moms,HAS_CAST,Christina Applegate
Bad Moms,HAS_CAST,Jada Pinkett Smith
Signs,HAS_GENRE,Drama
Signs,HAS_GENRE,Thriller
Signs,HAS_GENRE,Science Fiction
Signs,HAS_GENRE,Mystery
Signs,HAS_CAST,Mel Gibson
Signs,HAS_CAST,Joaquin Phoenix
Signs,HAS_CAST,Abigail Breslin
Signs,HAS_DIRECTOR,M. Night Shyamalan
Signs,HAS_WRITER,M. Night Shyamalan
One Fine Day,HAS_GENRE,Romance
One Fine Day,HAS_GENRE,Comedy
One Fine Day,HAS_CAST,George Clooney
One Fine Day,HAS_CAST,Mae Whitman
The Breakfast Club,HAS_GENRE,Comedy
The Breakfast Club,HAS_GENRE,Drama
The Breakfast Club,HAS_CAST,Emilio Estevez
The Breakfast Club,HAS_CAST,Judd Nelson
The Breakfast Club,HAS_CAST,Molly Ringwald
The Breakfast Club,HAS_CAST,Ally Sheedy
The Breakfast Club,HAS_DIRECTOR,John Hughes
The Breakfast Club,HAS_WRITER,John Hughes
Rushmore,HAS_GENRE,Comedy
Rushmore,HAS_GENRE,Drama
Rushmore,HAS_CAST,Jason Schwartzman
Rushmore,HAS_CAST,Bill Murray
Rushmore,HAS_CAST,Brian Cox
Rushmore,HAS_DIRECTOR,Wes Anderson
"Planes, Trains and Automobiles",HAS_GENRE,Comedy
"Planes, Trains and Automobiles",HAS_CAST,Steve Martin
"Planes, Trains and Automobiles",HAS_CAST,John Candy
"Planes, Trains and Automobiles",HAS_DIRECTOR,John Hughes
The Blair Witch Project,HAS_GENRE,Horror
The Blair Witch Project,HAS_GENRE,Mystery
The Birds,HAS_GENRE,Horror
The Birds,HAS_DIRECTOR,Alfred Hitchcock
Ride Along,HAS_GENRE,Action
Ride Along,HAS_GENRE,Comedy
Ride Along,HAS_CAST,Ice Cube
Ride Along,HAS_CAST,Kevin Hart
Central Intelligence,HAS_GENRE,Action
Central Intelligence,HAS_GENRE,Comedy
Central Intelligence,HAS_GENRE,Crime
Central Intelligence,HAS_GENRE,Mystery
Central Intelligence,HAS_CAST,Dwayne Johnson
Central Intelligence,HAS_CAST,Kevin Hart
Central Intelligence,HAS_CAST,Jason Bateman
Star Trek: Of Gods and Men,HAS_GENRE,Misc
Ride Along 2,HAS_GENRE,Action
Ride Along 2,HAS_GENRE,Comedy
Ride Along 2,HAS_CAST,Kevin Hart
Ride Along 2,HAS_CAST,Ice Cube
Blue Streak,HAS_GENRE,Action
Blue Streak,HAS_GENRE,Comedy
Blue Streak,HAS_GENRE,Crime
Blue Streak,HAS_CAST,Martin Lawrence
Blue Streak,HAS_CAST,Luke Wilson
Blue Streak,HAS_CAST,Dave Chappelle
Bulletproof,HAS_GENRE,Comedy
Bulletproof,HAS_GENRE,Crime
Bulletproof,HAS_GENRE,Action
Bulletproof,HAS_CAST,Damon Wayans
Bulletproof,HAS_CAST,Adam Sandler
Bulletproof,HAS_CAST,James Caan
Dunkirk,HAS_GENRE,War
Dunkirk,HAS_GENRE,Action
Dunkirk,HAS_GENRE,Drama
Dunkirk,HAS_CAST,Tom Hardy
Dunkirk,HAS_CAST,Mark Rylance
Dunkirk,HAS_DIRECTOR,Christopher Nolan
Dunkirk,HAS_WRITER,Christopher Nolan
E.T. the Extra-Terrestrial,HAS_GENRE,Science Fiction
E.T. the Extra-Terrestrial,HAS_GENRE,Adventure
E.T. the Extra-Terrestrial,HAS_GENRE,Family
E.T. the Extra-Terrestrial,HAS_GENRE,Fantasy
E.T. the Extra-Terrestrial,HAS_CAST,Drew Barrymore
E.T. the Extra-Terrestrial,HAS_DIRECTOR,Steven Spielberg
Risky Business,HAS_GENRE,Romance
Risky Business,HAS_GENRE,Comedy
Risky Business,HAS_GENRE,Drama
Risky Business,HAS_CAST,Tom Cruise
Avatar,HAS_GENRE,Action
Avatar,HAS_GENRE,Adventure
Avatar,HAS_GENRE,Fantasy
Avatar,HAS_GENRE,Science Fiction
Avatar,HAS_CAST,Michelle Rodriguez
Avatar,HAS_CAST,Sigourney Weaver
Avatar,HAS_DIRECTOR,James Cameron
Avatar,HAS_WRITER,James Cameron
Bernie,HAS_GENRE,Comedy
Scary Movie,HAS_GENRE,Comedy
Scary Movie,HAS_CAST,Regina Hall
Monty Python and the Holy Grail,HAS_GENRE,Adventure
Monty Python and the Holy Grail,HAS_GENRE,Comedy
Monty Python and the Holy Grail,HAS_GENRE,Fantasy
Monty Python and the Holy Grail,HAS_CAST,Terry Gilliam
